"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2019","1.1160","1.1199","1.1204","1.1158","","-0.32%"
"05/27/2019","1.1196","1.1196","1.1216","1.1185","","-0.05%"
"05/24/2019","1.1202","1.1182","1.1214","1.1174","","0.20%"
"05/23/2019","1.1180","1.1151","1.1189","1.1107","","0.25%"
"05/22/2019","1.1152","1.1167","1.1181","1.1147","","-0.05%"
"05/21/2019","1.1158","1.1171","1.1188","1.1141","","-0.11%"
"05/20/2019","1.1170","1.1158","1.1177","1.1149","","0.13%"
"05/17/2019","1.1156","1.1174","1.1185","1.1154","","-0.14%"
"05/16/2019","1.1172","1.1202","1.1227","1.1165","","-0.25%"
"05/15/2019","1.1200","1.1204","1.1226","1.1177","","-0.03%"
"05/14/2019","1.1203","1.1224","1.1247","1.1200","","-0.18%"
"05/13/2019","1.1223","1.1242","1.1266","1.1221","","-0.09%"
"05/10/2019","1.1233","1.1215","1.1255","1.1214","","0.12%"
"05/09/2019","1.1220","1.1192","1.1253","1.1172","","0.26%"
"05/08/2019","1.1191","1.1191","1.1215","1.1182","","0.01%"
"05/07/2019","1.1190","1.1199","1.1222","1.1165","","-0.06%"
"05/06/2019","1.1197","1.1172","1.1211","1.1159","","-0.03%"
"05/03/2019","1.1200","1.1178","1.1207","1.1135","","0.21%"
"05/02/2019","1.1176","1.1202","1.1221","1.1170","","-0.16%"
"05/01/2019","1.1194","1.1215","1.1266","1.1187","","-0.19%"
"04/30/2019","1.1215","1.1186","1.1231","1.1175","","0.27%"
"04/29/2019","1.1185","1.1152","1.1192","1.1141","","0.33%"
"04/26/2019","1.1148","1.1131","1.1176","1.1111","","0.16%"
"04/25/2019","1.1130","1.1161","1.1164","1.1118","","-0.20%"
"04/24/2019","1.1152","1.1229","1.1233","1.1140","","-0.65%"
"04/23/2019","1.1225","1.1257","1.1264","1.1192","","-0.27%"
"04/22/2019","1.1255","1.1244","1.1264","1.1236","","0.08%"
"04/19/2019","1.1246","1.1241","1.1254","1.1228","","0.15%"
"04/18/2019","1.1229","1.1297","1.1307","1.1226","","-0.58%"
"04/17/2019","1.1294","1.1281","1.1326","1.1279","","0.12%"
"04/16/2019","1.1280","1.1303","1.1315","1.1279","","-0.24%"
"04/15/2019","1.1307","1.1300","1.1322","1.1294","","0.06%"
"04/12/2019","1.1300","1.1254","1.1327","1.1252","","0.44%"
"04/11/2019","1.1250","1.1273","1.1291","1.1249","","-0.20%"
"04/10/2019","1.1273","1.1264","1.1288","1.1229","","0.11%"
"04/09/2019","1.1261","1.1272","1.1286","1.1253","","0.02%"
"04/08/2019","1.1259","1.1218","1.1277","1.1213","","0.40%"
"04/05/2019","1.1214","1.1223","1.1247","1.1209","","-0.05%"
"04/04/2019","1.1220","1.1235","1.1250","1.1205","","-0.12%"
"04/03/2019","1.1234","1.1205","1.1256","1.1200","","0.29%"
"04/02/2019","1.1202","1.1216","1.1219","1.1183","","-0.09%"
"04/01/2019","1.1212","1.1218","1.1250","1.1202","","-0.04%"
"03/29/2019","1.1217","1.1221","1.1249","1.1208","","-0.03%"
"03/28/2019","1.1220","1.1244","1.1264","1.1213","","-0.24%"
"03/27/2019","1.1247","1.1269","1.1287","1.1242","","-0.15%"
"03/26/2019","1.1264","1.1313","1.1329","1.1262","","-0.42%"
"03/25/2019","1.1311","1.1294","1.1333","1.1284","","-0.02%"
"03/22/2019","1.1313","1.1375","1.1394","1.1272","","-0.53%"
"03/21/2019","1.1373","1.1414","1.1439","1.1342","","-0.33%"
"03/20/2019","1.1411","1.1351","1.1450","1.1335","","0.55%"
"03/19/2019","1.1349","1.1337","1.1364","1.1332","","0.11%"
"03/18/2019","1.1336","1.1323","1.1360","1.1317","","0.10%"
"03/15/2019","1.1325","1.1305","1.1346","1.1296","","0.20%"
"03/14/2019","1.1302","1.1329","1.1342","1.1293","","-0.20%"
"03/13/2019","1.1325","1.1287","1.1341","1.1277","","0.35%"
"03/12/2019","1.1286","1.1250","1.1308","1.1243","","0.35%"
"03/11/2019","1.1247","1.1238","1.1259","1.1221","","0.06%"
"03/08/2019","1.1240","1.1194","1.1248","1.1185","","0.41%"
"03/07/2019","1.1194","1.1306","1.1322","1.1176","","-1.00%"
"03/06/2019","1.1307","1.1313","1.1328","1.1286","","-0.01%"
"03/05/2019","1.1308","1.1339","1.1353","1.1290","","-0.28%"
"03/04/2019","1.1340","1.1380","1.1398","1.1309","","-0.33%"
"03/01/2019","1.1377","1.1372","1.1410","1.1353","","0.05%"
"02/28/2019","1.1371","1.1371","1.1421","1.1357","","0.02%"
"02/27/2019","1.1369","1.1396","1.1404","1.1360","","-0.16%"
"02/26/2019","1.1387","1.1366","1.1404","1.1343","","0.25%"
"02/25/2019","1.1359","1.1338","1.1369","1.1323","","0.14%"
"02/22/2019","1.1343","1.1337","1.1360","1.1315","","0.06%"
"02/21/2019","1.1336","1.1338","1.1368","1.1320","","-0.01%"
